Tweet,Analysis,context,Counter,
"  هذا ينعكس على بشكل كبير جدا وخيالي على خدمات الانترنت ... خبر مفرح والحمد لله .. والتذمر من سرعات الانترنت بيزول للابد باذن الله وبنصبح ننافس المراكز الاولى 🇸🇦🇸🇦 
#الانترنت_عندك_سريع_او_بطي",,,0,
  هذه الباقه يوميه . شهريه . سنويه . يوجد نقص بالمعلومات المطروحه و اتمنى استبدال المصمم الذي فشل بالتصميم ولم يذكر لنا المده .  ,,,,
  هذه بالذات اس تي سي 👈🏃🏃🏃😛,,,,
  هذولا الي بيضربون شركات الاتصالات عندنا اذا دخلت قوقل فايبر الله يعجل الامور,,,,
  هذولا ما يردون اصلا,,,,
"  هذي استغلال   (كانت ب55 )لكن رفعتو السعر مع الضريبة لين وصلتوها 65؛وتم تخفيض البيانات!
👇  ",,,,
"  هذي استغلال   (كانت ب55 )لكن رفعتو السعر مع الضريبة لين وصلتوها 65؛وتم تخفيض البيانات!👇  ",,,,
  هذي الباقة صحيحه ؟  ,,,,
  هذي البيانات اقدر اشاركها,,,,
  هذي رعايه هملاء وليس عملاء,,,,
  هذي شبكتكم  ,,,,
  هذي شريحة بيانات ولا اتصال ؟,,,,
"  هذي في افضل حالاتة. 
 
   ",,,,
  هذي قدرتكم وشجاعتكم بس ؟؟!!😨تقدرون تقاطعون اللي ينهبون المئات مثل شركات الاتصالات والكهرباء والمياة ؟؟!!😤,,,,
  هذي كلمة الله ياخذ اس تي سي توديج ورى الشمس ديري بالج ترا قضية عليها وهذي الشركات ما تطوف خصوصا ان التغريدة منتشره,,,,
  هع تساعدوني ب ويش النت ابو كلب مع احترامي ل شركة زين لكن ، ماتحترمون عملائكم انا عميل ل زين على مدى ٣ سنوات ومع ذلك بدل ماتقدمون لنا الخدمه ب شكل ممتاز رحتو تخفضون النت وصار مايسوى ريال بدل ماتحافظون على عملائكم تجبرونهم يختارون شركه ثانيه مثل اس تي سي او موبايلي,,,,
  هل  تقطي هجرة سوده في الاحساء,,,,
"  هل ١٠٠قيقا شهريا ب١٠٠ريال
قابله للاستخدام العادل ام لا
واذا انتهت ال١٠٠ قيقا قبل شهر وش يصير",,,,
"  هل ١٠٠قيقا شهريا ب١٠٠ريالقابله للاستخدام العادل ام لاواذا انتهت ال١٠٠ قيقا قبل شهر وش يصير",,,,
  هل اذ شحنة بي ١٠٠ في ضريبة ولا,,,,
  هل استطيع اشحن باقة 100 جيجا ع رقمي العادي؟,,,,
  هل استطيع تفعيلها على شريحة الاتصال ؟ يعني اذا شحنت ب١٠٠ ريال اقدر افعلها ؟؟؟؟؟؟,,,,
  هل اقدر اشحنها على شريحه صوتيه باقة حلا ون؟؟,,,,
  هل اكسترا من ضمن الشركاء ؟,,,,
  هل الباقة لفترة محدوده؟,,,,
  هل الباقة هذي صحيحة؟  ,,,,
  هل العرض ابو خمس شرائح,,,,
  هل العرض مستمر ي موبايلي,,,,
  هل العرض موجود تحويل من stcالى موبايلي ٤٠٠ب ٢٠٠شرائح متعدده,,,,
  هل العرض هذا موجود حاليا ؟  ,,,,
  هل العرض يلزمني بعقد لمدة معينه او متى ابغا الغي العرض ألغيته,,,,
  هل النت سريع في الاحساء؟؟,,,,
  هل انتم راضين عن خدمة الانترنت المقدمة من  ?,,,,
  هل انتم متأكدين بأن النت مفتوح,,,,
  هل باقة 120 توقفت لأنه من ثلاث ساعات أحاول الإشتراك ولم يقبل الإشتراك #موبايلي,,,,
  هل باقة ١٢٠ متوفره للان,,,,
  هل باقة 450 جيجا تخضع للاستخدام العادل؟؟؟؟؟؟ اتمنى الرد بمصداقيه .,,,,
  هل باقة حلا120 يشملها العرض ولا اشتراك جديد انا مشترك في باقة حلا120 يشملني العرض وبكم,,,,
  هل باقة فلة 100 المفوتر موجودة ؟,,,,
  هل بالامكان ارسال الايميل الخاص بك مع الشكر,,,,
  هل بالامكان استخراج شرائح متعددة لهذا العرض,,,,
  هل بالامكان استخراج شرائح متعدده لنفس العرض الحالي اللامحدودة مفوترة,,,,
  هل تخضع للاستخدام العادل,,,,
  هل تشمل سياسية الاستخدام العادل ?,,,,
  هل تعلم ان خدمة الانترنت في الكويت اقل سعرا بكثير جدا من جارتها السعودية مع العلم بأن الشركة الأم سعودية,,,,
  هل تفعيل خدمة الالياف عندكم بعد سداد الفاتوره يحتاج اكثر من يومين؟,,,,
  هل تقصد ان شركة الاتصالات السعودية   ستنقل الدوري السعودي؟!,,,,
  هل تنصح احد بـ #موبايلي ....؟؟  ,,,,
"  هل خدمة الانترنت المنزلي اللاسلكي متوفره حالياً؟مسبق أم آجل الدفع؟ بعقد او بدون؟",,,,
